"State,Airport,Type"
"MI,PLN,Origin"
"MI,TVC,Origin"
"MN,BJI,Origin"
"MN,BRD,Origin"
"MN,DLH,Origin"
"MN,HIB,Origin"
"MN,INL,Origin"
"MN,MSP,Origin"
"MN,RST,Origin"
"MN,STC,Origin"
"MO,CGI,Origin"
"MO,COU,Origin"
"MO,JLN,Origin"
"MO,MCI,Origin"
"MO,SGF,Origin"
"MO,STL,Origin"
"MO,TBN,Origin"
"MS,GPT,Origin"
"MS,GTR,Origin"
"MS,JAN,Origin"
"MS,MEI,Origin"
"MS,PIB,Origin"
"MT,BIL,Origin"
"MT,BTM,Origin"
"MT,BZN,Origin"
"MT,FCA,Origin"
"MT,GTF,Origin"
"MT,HLN,Origin"
"MT,MSO,Origin"
"NC,AVL,Origin"
"NC,CLT,Origin"
"NC,EWN,Origin"
"NC,FAY,Origin"
"NC,GSO,Origin"
"NC,ILM,Origin"
"NC,OAJ,Origin"
"NC,PGV,Origin"
"NC,RDU,Origin"
"NC,USA,Origin"
"ND,BIS,Origin"
"ND,DIK,Origin"
"ND,DVL,Origin"
"ND,FAR,Origin"
"ND,GFK,Origin"
"ND,JMS,Origin"
"ND,MOT,Origin"
"ND,XWA,Origin"
"NE,BFF,Origin"
"NE,EAR,Origin"
"NE,GRI,Origin"
"NE,LBF,Origin"
"NE,LNK,Origin"
"NE,OMA,Origin"
"NH,MHT,Origin"
"NH,PSM,Origin"
"NJ,ACY,Origin"
"NJ,EWR,Origin"
"NJ,TTN,Origin"
"NM,ABQ,Origin"
"NM,HOB,Origin"
"NM,ROW,Origin"
"NM,SAF,Origin"
"NV,EKO,Origin"
"NV,LAS,Origin"
"NV,RNO,Origin"
"NY,ALB,Origin"
"NY,ART,Origin"
"NY,BGM,Origin"
"NY,BUF,Origin"
"NY,ELM,Origin"
"NY,HPN,Origin"
"NY,IAG,Origin"
"NY,ISP,Origin"
"NY,ITH,Origin"
"NY,JFK,Origin"
"NY,LGA,Origin"
"NY,OGS,Origin"
"NY,PBG,Origin"
"NY,ROC,Origin"
"NY,SWF,Origin"
"NY,SYR,Origin"
"OH,CAK,Origin"
"OH,CLE,Origin"
"OH,CMH,Origin"
"OH,DAY,Origin"
"OH,LCK,Origin"
"OH,TOL,Origin"
"OK,LAW,Origin"
"OK,OKC,Origin"
"OK,SWO,Origin"
"OK,TUL,Origin"
"OR,EUG,Origin"
"OR,MFR,Origin"
"OR,OTH,Origin"
"OR,PDX,Origin"
"OR,RDM,Origin"
"PA,ABE,Origin"
"PA,AVP,Origin"
"PA,ERI,Origin"
"PA,JST,Origin"
"PA,LBE,Origin"
"PA,MDT,Origin"
"PA,PHL,Origin"
"PA,PIT,Origin"
"PA,SCE,Origin"
"PR,BQN,Origin"
"PR,PSE,Origin"
"PR,SJU,Origin"
"RI,PVD,Origin"
"SC,CAE,Origin"
"SC,CHS,Origin"
"SC,FLO,Origin"
"SC,GSP,Origin"
"SC,HHH,Origin"
"SC,MYR,Origin"
"SD,ABR,Origin"
"SD,ATY,Origin"
"SD,FSD,Origin"
"SD,PIR,Origin"
"SD,RAP,Origin"
"TN,BNA,Origin"
"TN,CHA,Origin"
"TN,MEM,Origin"
"TN,TRI,Origin"
"TN,TYS,Origin"
"TT,GUM,Origin"
"TT,PPG,Origin"
"TT,SPN,Origin"
"TX,ABI,Origin"
"TX,ACT,Origin"
"TX,AMA,Origin"
"TX,AUS,Origin"
"TX,BPT,Origin"
"TX,BRO,Origin"
"TX,CLL,Origin"
"TX,CRP,Origin"
"TX,DAL,Origin"
"TX,DFW,Origin"
"TX,DRT,Origin"
"TX,ELP,Origin"
"TX,GGG,Origin"
"TX,GRK,Origin"
"TX,HOU,Origin"
